"Followup_Days","Signature","Stratification","p_value","N","n_LOW","n_HIGH"
30,"CES1_CPT1A","zsign_CES1_CPT1A_25p",0.899,235,59,176
30,"CES1_CPT1A","zsign_CES1_CPT1A_50p",0.2661,235,118,117
30,"CES1_CPT1A","zsign_CES1_CPT1A_75p",0.6241,235,176,59
30,"CES1_CPT1A","zsign_CES1_CPT1A_66p",0.8781,235,157,78
30,"CES1_CPT1A","zsign_CES1_CPT1A_90p",0.5602,235,213,22
30,"CES1_CPT1A","zsign_CES1_CPT1A_25p_75p",0.7814,115,58,57
30,"CES1_CPT1A","zsign_CES1_CPT1A_33p_66p",0.9543,156,78,78
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_25p",0.9983,235,59,176
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_50p",0.8911,235,118,117
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_75p",0.3249,235,176,59
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_66p",0.8187,235,157,78
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_90p",0.1491,235,211,24
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_25p_75p",0.5396,115,58,57
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_33p_66p",0.8963,156,78,78
30,"CES1_CPT1A","zsign_CES1_CPT1A_20p_80p",0.7811,94,47,47
30,"CES1_CPT1A","zsign_CES1_CPT1A_40p_60p",0.3296,188,94,94
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_20p_80p",0.5723,94,47,47
30,"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_40p_60p",0.7794,188,94,94
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_25p",0.9493,235,59,176
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_50p",0.2931,235,118,117
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_75p",0.6307,235,176,59
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_66p",0.8054,235,157,78
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_90p",0.624,235,212,23
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_25p_75p",0.5216,114,58,56
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_33p_66p",0.9431,156,78,78
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_20p_80p",0.5827,94,47,47
30,"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_40p_60p",0.5059,188,94,94
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_25p",0.8791,235,59,176
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_50p",0.8944,235,118,117
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_75p",0.1211,235,176,59
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_66p",0.1143,235,157,78
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_90p",0.8552,235,213,22
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_25p_75p",0.3766,115,58,57
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_33p_66p",0.2778,155,77,78
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_25p",0.4786,235,59,176
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_50p",0.8873,235,118,117
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_75p",0.8496,235,176,59
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_66p",0.3842,235,157,78
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_90p",0.5957,235,211,24
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_25p_75p",0.7161,114,57,57
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_33p_66p",0.6015,155,77,78
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_20p_80p",0.1539,94,47,47
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_40p_60p",0.5519,188,94,94
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_20p_80p",0.6071,94,47,47
30,"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_40p_60p",0.8281,188,94,94
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_25p",0.4786,235,59,176
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_50p",0.8873,235,118,117
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_75p",0.8496,235,176,59
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_66p",0.3842,235,157,78
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_90p",0.5957,235,211,24
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_25p_75p",0.7161,114,57,57
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_33p_66p",0.6015,155,77,78
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_20p_80p",0.6071,94,47,47
30,"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_40p_60p",0.8281,188,94,94
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_25p",0.9983,235,59,176
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_50p",0.8911,235,118,117
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_75p",0.3249,235,176,59
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_66p",0.8187,235,157,78
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_90p",0.1491,235,211,24
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_25p_75p",0.5396,115,58,57
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_33p_66p",0.8963,156,78,78
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_20p_80p",0.5723,94,47,47
30,"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_40p_60p",0.7794,188,94,94
